6|6,3.1423568725585938
12 54 18|12 54 18,10.3759765625
18 54 18|18 54 18,10.905265808105469
24 54 18|24 54 18,15.215873718261719
30 54 18|30 54 18,16.81804656982422
36 54 18|36 54 18,30.994415283203125
42 54 18|42 54 18,29.087066650390625
48 54 18|48 54 18,27.54688262939453
54 54 18|54 54 18,46.04339599609375
60 54 18|60 54 18,43.168067932128906
66 54 18|66 54 18,53.79199981689453
72 54 18|72 54 18,47.440528869628906
78 54 18|78 54 18,60.03379821777344
84 54 18|84 54 18,52.733421325683594
90 54 18|90 54 18,67.95883178710938
96 54 18|96 54 18,69.55146789550781
60 18|60 18,7.0953369140625
6 60 18|6 60 18,8.406639099121094
12 60 18|12 60 18,10.046958923339844
18 60 18|18 60 18,13.232231140136719
24 60 18|24 60 18,18.749237060546875
